t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0
0,1,1,1,0,0,1,0,0,0
0,1,1,1,1,0,1,0,0,1
0,1,1,1,1,1,1,0,0,1
1,1,2,1,1,1,1,0,0,1
1,1,2,1,1,1,1,0,0,1
2,1,2,1,1,1,1,0,0,1
2,1,2,1,1,1,1,0,0,1
2,1,2,1,1,2,1,0,0,1
2,1,2,1,1,2,1,0,0,1
3,1,2,1,1,2,1,0,0,1
3,1,2,1,1,2,1,0,0,1
3,1,2,1,1,2,1,0,1,1
3,1,2,1,1,2,1,0,1,1
3,1,2,1,1,2,1,0,1,1
3,1,2,1,1,2,1,0,1,1
3,1,2,1,1,2,1,0,1,1
3,1,2,1,1,2,1,0,1,1
3,1,2,1,1,2,1,0,2,1
3,1,2,1,1,2,1,0,2,1
3,1,2,1,1,2,1,0,2,1
3,1,2,1,1,2,1,0,2,1
3,1,2,1,1,2,1,0,2,1
3,1,2,1,1,2,1,0,2,1
3,1,2,1,1,2,1,0,2,1
3,1,2,1,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,3,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,0,4,1
3,1,2,2,1,2,1,1,4,1
3,1,2,2,1,2,1,1,4,1
3,1,2,2,1,2,1,1,4,1
3,1,2,2,1,2,1,1,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
3,1,2,2,1,2,1,2,4,1
