t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,0,0,0,0,0,1,0,1
2,1,0,0,0,0,1,1,0,0
1,1,0,1,0,0,2,0,0,0
3,0,0,0,1,0,2,2,0,0
3,2,0,0,1,1,2,4,0,0
3,4,0,0,0,1,0,4,0,0
3,3,0,0,0,2,3,3,0,0
4,4,0,0,0,2,5,4,0,0
4,7,0,0,1,1,3,4,0,0
2,6,0,0,0,1,2,3,0,0
4,6,0,0,2,1,4,1,0,0
4,7,0,0,1,2,6,2,0,0
6,11,0,0,0,4,8,1,0,0
7,8,0,0,1,5,7,0,0,0
5,7,0,0,1,5,6,1,0,0
4,8,0,0,2,4,3,3,0,0
9,11,0,0,3,1,5,2,0,0
15,15,0,0,3,3,8,3,0,0
19,18,0,0,3,4,8,3,0,0
15,14,0,0,2,5,5,4,0,0
15,16,0,1,3,5,8,9,0,0
15,16,0,1,1,7,12,7,0,0
21,23,0,1,3,7,11,15,0,0
27,22,0,0,2,5,13,22,0,0
21,28,0,0,5,6,24,22,0,0
34,28,0,1,5,7,20,23,0,0
49,36,0,1,5,9,24,23,0,0
59,46,0,0,6,9,26,32,0,0
60,46,0,0,9,11,22,35,0,0
75,42,0,0,7,11,18,37,0,0
73,50,0,0,6,11,25,42,0,0
116,48,0,0,5,12,21,46,0,0
130,51,0,0,9,9,27,48,0,0
164,72,0,0,14,6,44,67,0,0
197,70,0,0,19,7,57,63,0,0
237,79,0,0,30,10,65,83,0,0
320,93,0,0,31,10,76,99,0,0
390,105,0,0,33,9,87,98,0,0
439,130,0,0,27,8,86,99,0,0
482,130,0,0,32,11,83,119,0,0
535,130,0,0,37,10,104,138,0,0
567,144,0,0,41,7,111,142,0,0
664,137,0,1,39,10,127,133,0,0
698,137,0,1,46,7,126,147,0,0
771,159,0,2,37,9,143,171,0,0
836,171,0,3,42,10,171,200,0,0
921,179,0,3,56,15,194,214,0,0
1126,195,0,2,74,14,232,290,0,0
1309,219,0,2,80,13,266,316,0,0
1371,252,0,2,84,14,284,368,0,0
1385,261,0,1,100,19,339,432,0,0
1386,246,0,4,94,13,366,447,0,0
1335,255,0,3,121,17,355,475,0,0
1283,258,0,11,121,19,393,513,0,0
1152,279,0,15,141,14,406,523,0,0
1120,299,0,16,154,17,422,553,0,0
1054,328,0,17,167,17,446,585,0,0
1024,362,0,15,174,26,487,663,0,0
998,383,0,17,200,27,536,714,0,0
985,410,0,23,250,23,596,816,0,0
971,444,0,33,282,24,698,906,0,0
883,473,0,36,324,26,769,953,0,0
710,477,0,41,341,28,730,936,0,0
577,472,0,43,367,30,721,921,0,0
509,462,0,48,399,28,739,906,0,0
424,464,0,49,411,30,702,876,0,0
361,465,0,57,446,38,705,817,0,0
312,468,0,73,468,31,691,765,0,0
256,493,0,77,507,35,704,740,0,0
235,489,0,90,546,33,729,758,0,0
214,487,0,108,582,41,761,743,0,0
219,519,0,126,607,51,780,794,0,0
237,521,0,150,674,49,818,846,0,0
203,563,0,166,684,48,799,833,0,0
186,565,0,170,706,37,781,791,0,0
152,596,0,192,737,55,748,673,0,0
122,589,0,215,790,54,687,600,0,0
98,567,0,220,746,48,679,538,0,0
79,583,0,222,687,53,620,485,0,0
69,574,0,244,717,52,604,427,0,0
56,534,0,262,729,63,595,397,0,0
53,523,0,284,731,76,538,368,0,0
55,532,0,316,746,73,542,339,0,0
61,545,0,364,815,88,566,309,0,0
63,598,0,431,844,98,579,332,0,0
65,611,0,469,830,88,530,351,0,0
48,588,0,473,841,88,508,301,0,0
37,561,0,467,770,101,442,280,0,0
31,531,0,455,702,94,383,240,0,0
27,506,0,493,675,102,327,202,0,0
19,473,0,499,617,106,292,168,0,0
21,429,0,496,583,109,262,149,0,0
15,430,0,536,556,101,250,143,0,0
13,452,0,488,561,115,238,130,0,0
11,452,0,539,547,141,239,124,0,0
13,445,0,560,547,142,220,130,0,0
18,437,0,604,538,159,232,131,0,0
17,422,0,639,529,146,212,120,0,0
11,405,0,645,508,154,171,111,0,0
8,374,0,622,447,152,151,102,0,0
9,343,0,596,391,150,128,88,0,0
6,315,0,564,320,148,108,77,0,0
6,298,0,555,276,150,92,70,0,0
3,256,0,552,246,146,81,50,0,0
4,241,0,582,226,164,92,44,0,0
5,236,0,590,211,187,95,35,0,0
4,255,0,623,199,192,90,38,0,0
3,245,0,663,197,232,90,49,0,0
6,259,0,696,219,229,93,58,0,0
2,233,0,705,197,224,84,51,0,0
3,221,0,680,173,240,73,40,0,0
1,214,0,633,150,258,60,45,0,0
0,203,0,591,136,250,49,44,0,0
0,184,0,549,116,225,47,28,0,0
0,159,0,495,92,236,44,24,0,0
0,159,0,461,74,240,36,18,0,0
0,147,0,455,66,237,34,16,0,0
0,136,0,424,68,247,33,18,0,0
0,125,0,429,77,254,28,15,0,0
1,131,0,462,77,295,26,12,0,0
3,138,0,530,81,303,37,15,0,0
2,126,0,487,81,305,34,14,0,0
3,118,0,464,66,284,28,11,0,0
1,111,0,396,55,284,28,13,0,0
0,95,0,359,59,268,27,8,0,0
0,85,0,315,49,235,23,7,0,0
0,75,0,264,34,242,21,7,0,0
0,70,0,263,31,220,15,8,0,0
0,61,0,244,31,198,13,8,0,0
0,57,0,253,25,210,10,10,0,0
0,53,0,272,26,231,10,8,0,0
0,44,0,270,27,239,7,5,0,0
0,65,0,264,35,255,13,10,0,0
0,65,0,246,29,244,16,9,0,0
0,63,0,213,27,252,13,8,0,0
0,57,0,176,22,235,11,9,0,0
0,48,0,156,18,234,6,7,0,0
0,39,0,132,12,234,5,6,0,0
0,34,0,115,12,210,5,4,0,0
0,31,0,112,14,201,3,3,0,0
0,28,0,99,15,187,4,3,0,0
0,28,0,100,13,192,3,4,0,0
0,30,0,98,15,193,4,4,0,0
0,36,0,93,16,211,3,4,0,0
1,34,0,105,9,192,6,5,0,0
1,33,0,106,11,162,6,3,0,0
1,28,0,89,11,157,4,3,0,0
1,19,0,78,12,161,3,2,0,0
0,21,0,76,10,139,4,1,0,0
0,19,0,60,7,125,4,1,0,0
0,16,0,55,5,124,2,0,0,0
0,15,0,48,8,114,2,0,0,0
0,12,0,44,7,120,2,1,0,0
0,11,0,40,7,102,0,1,0,0
0,16,0,41,5,91,0,0,0,0
0,21,0,34,7,117,2,1,0,0
0,23,0,36,10,114,1,3,0,0
0,19,0,38,7,123,2,1,0,0
0,12,0,34,6,115,1,1,0,0
0,15,0,30,5,95,1,1,0,0
0,16,0,25,5,94,1,0,0,0
0,10,0,22,2,78,0,0,0,0
0,9,0,17,1,81,0,0,0,0
0,8,0,16,1,78,0,0,0,0
0,8,0,17,1,76,0,0,0,0
0,7,0,16,2,66,0,0,0,0
0,8,0,18,2,64,0,0,0,0
0,8,0,20,1,74,0,0,0,0
0,10,0,21,2,79,0,0,0,0
0,9,0,19,0,78,1,0,0,0
0,7,0,15,0,75,0,0,0,0
0,7,0,11,0,71,0,0,0,0
0,5,0,12,0,81,0,0,0,0
0,5,0,13,0,73,0,0,0,0
0,4,0,13,0,64,0,0,0,0
0,3,0,9,0,57,0,0,0,0
0,1,0,7,0,54,0,0,0,0
0,1,0,6,0,58,0,0,0,0
0,1,0,8,0,48,0,0,0,0
0,4,0,6,0,45,0,0,0,0
0,4,0,10,0,57,0,0,0,0
0,2,0,6,0,63,0,0,0,0
0,2,0,4,1,59,0,0,0,0
0,2,0,7,0,52,0,0,0,0
0,2,0,7,0,46,0,0,0,0
0,2,0,6,0,44,0,0,0,0
0,2,0,4,0,40,0,0,0,0
0,2,0,3,1,34,0,0,0,0
0,3,0,3,0,40,0,0,0,0
0,2,0,1,0,34,0,0,0,0
0,2,0,1,1,30,0,0,0,0
0,1,0,2,0,37,0,0,0,0
0,1,0,3,1,33,0,0,0,0
0,0,0,5,1,40,1,0,0,0
0,0,0,5,0,37,0,0,0,0
0,0,0,4,0,39,0,0,0,0
0,0,0,4,0,39,0,0,0,0
0,0,0,5,0,29,0,0,0,0
0,0,0,2,0,34,0,0,0,0
0,0,0,3,0,33,0,0,0,0
0,0,0,2,0,28,0,0,0,0
0,0,0,2,0,28,0,0,0,0
0,0,0,1,0,26,0,0,0,0
0,0,0,1,0,29,0,0,0,0
0,0,0,3,0,27,0,0,0,0
0,0,0,3,0,27,0,0,0,0
0,0,0,1,1,30,0,0,0,0
0,0,0,0,0,24,0,0,0,0
0,0,0,0,0,24,0,0,0,0
0,0,0,0,0,28,0,0,0,0
0,0,0,1,0,25,0,0,0,0
0,0,0,1,0,20,0,0,0,0
0,0,0,1,0,19,0,0,0,0
0,0,0,1,0,16,0,0,0,0
0,1,0,1,0,17,0,0,0,0
0,0,0,1,0,20,0,0,0,0
0,0,0,2,0,16,0,0,0,0
0,0,0,1,0,16,0,0,0,0
0,0,0,1,0,14,0,0,0,0
0,0,0,1,0,16,0,0,0,0
0,0,0,1,0,16,0,0,0,0
0,0,0,1,0,13,0,0,0,0
0,0,0,1,0,12,0,0,0,0
0,0,0,1,0,10,0,0,0,0
0,0,0,2,0,8,0,0,0,0
0,0,0,2,0,5,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,1,0,6,0,0,0,0
0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,4,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,2,0,0,0,0
0,0,0,1,0,4,0,0,0,0
0,0,0,1,0,2,0,0,0,0
0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,5,0,0,0,0
0,0,0,1,0,4,0,0,0,0
0,0,0,1,0,2,0,0,0,0
