t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0
1,0,0,0,2,0,0,0,0,0
1,0,0,0,2,0,1,0,0,0
0,0,0,0,2,0,1,0,0,0
0,0,0,0,2,0,1,0,0,0
0,0,0,0,2,0,1,0,0,0
0,0,0,0,2,0,1,0,0,0
0,1,0,0,3,0,1,0,0,0
0,3,0,0,3,0,1,0,0,0
0,3,0,0,3,0,1,0,0,0
0,2,0,0,3,0,1,2,0,0
1,2,0,1,3,0,1,1,0,0
1,1,0,1,2,0,1,1,0,0
2,1,0,1,1,1,1,1,0,0
2,0,0,1,1,1,0,1,0,0
2,0,0,1,1,1,1,0,0,0
2,1,0,1,1,2,1,1,0,0
2,1,0,1,2,2,2,1,0,0
4,1,0,1,2,2,2,1,0,0
5,1,0,0,2,1,3,1,0,0
7,1,0,0,5,0,4,1,0,0
7,1,0,0,5,0,6,3,0,0
10,1,0,0,6,0,6,5,0,0
14,2,0,0,6,0,6,5,0,0
16,3,0,0,8,0,8,5,0,0
18,4,0,0,7,0,8,5,0,0
18,4,0,0,7,0,6,7,0,0
20,6,0,0,8,0,8,5,0,0
26,5,0,0,9,0,12,7,0,0
29,7,0,0,11,0,13,8,0,0
33,8,0,0,13,0,12,10,0,0
31,10,0,0,13,0,12,14,0,0
41,10,0,0,14,0,12,14,0,0
43,12,0,0,13,0,15,14,0,0
41,11,0,0,15,0,15,15,0,0
35,11,0,0,15,0,14,17,0,0
36,11,0,0,16,1,16,18,0,0
39,14,0,0,18,2,14,19,0,0
39,15,0,1,19,2,19,19,0,0
41,16,0,1,21,3,22,21,0,0
45,17,0,1,22,3,25,23,0,0
51,22,0,1,27,3,26,24,0,0
53,26,0,1,28,3,35,24,0,0
49,30,0,1,29,3,33,26,0,0
48,30,0,1,33,3,36,34,0,0
46,30,0,2,31,3,40,34,0,0
48,33,0,4,36,4,44,36,0,0
46,36,0,4,40,4,43,38,0,0
42,28,0,3,49,5,44,42,0,0
38,26,0,5,51,5,39,43,0,0
36,25,0,7,60,6,40,42,0,0
33,22,0,7,67,6,44,46,0,0
30,27,0,9,68,5,41,52,0,0
29,31,0,10,74,5,39,52,0,0
28,33,0,12,83,6,39,54,0,0
26,29,0,13,89,6,38,54,0,0
23,29,0,15,90,6,36,55,0,0
20,32,0,16,96,5,36,51,0,0
