t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,2
2,1,0,1,1,1,2,2,0,1
2,2,0,1,1,1,3,2,0,0
3,2,0,1,2,1,3,2,0,0
4,4,0,1,3,1,5,4,0,0
5,6,0,1,3,1,5,5,0,0
3,7,0,1,3,2,5,3,0,0
2,6,0,1,3,3,8,2,0,0
4,7,0,1,3,3,9,1,0,0
4,8,0,1,3,3,9,2,0,0
5,8,0,1,3,4,10,2,0,0
5,7,0,1,4,5,10,2,0,0
7,9,0,1,4,4,12,3,0,0
10,11,0,1,4,5,12,2,0,0
13,13,0,1,4,6,15,2,0,0
12,14,0,1,3,8,15,3,0,0
12,16,0,1,4,8,16,4,0,0
15,15,0,1,5,7,15,4,0,0
21,18,0,1,5,5,19,5,0,0
25,21,0,1,6,6,19,4,0,0
29,24,0,1,8,6,19,6,0,0
32,25,0,1,8,5,21,7,0,0
35,25,0,1,9,8,23,9,0,0
46,29,0,1,9,10,24,14,0,0
46,36,0,1,10,11,30,18,0,0
46,38,0,1,9,11,31,22,0,0
50,41,0,2,10,11,36,27,0,0
66,48,0,2,10,11,38,31,0,0
76,57,0,2,13,12,46,39,0,0
103,65,0,2,16,12,51,40,0,0
117,79,0,2,21,12,58,51,0,0
147,81,0,2,23,15,62,64,0,0
166,88,0,2,26,17,67,69,0,0
202,97,0,2,26,16,74,88,0,0
247,106,0,2,26,15,89,97,0,0
298,114,0,2,32,16,106,111,0,0
365,130,0,2,36,18,121,132,0,0
448,152,0,2,44,19,140,155,0,0
559,167,0,2,47,19,161,176,0,0
671,185,0,2,49,20,177,196,0,0
795,206,0,2,56,21,200,217,0,0
902,238,0,2,63,23,212,255,0,0
1017,264,0,2,65,25,235,282,0,0
1150,274,0,2,78,25,263,304,0,0
1297,280,0,2,83,23,295,334,0,0
1482,290,0,3,88,23,319,377,0,0
1662,313,0,4,94,25,356,397,0,0
1864,336,0,5,104,29,415,451,0,0
2116,358,0,6,118,28,480,513,0,0
2359,383,0,8,132,32,524,566,0,0
2617,426,0,7,165,38,605,663,0,0
2838,435,0,10,183,33,678,748,0,0
2969,470,0,10,210,36,739,801,0,0
3171,501,0,13,232,42,815,873,0,0
3279,536,0,16,250,41,909,970,0,0
3361,557,0,22,268,44,983,1069,0,0
3382,579,0,27,309,40,1068,1135,0,0
3414,616,0,32,344,44,1162,1246,0,0
3449,645,0,32,377,50,1272,1320,0,0
3506,673,0,36,429,48,1397,1461,0,0
3496,717,0,45,466,51,1520,1580,0,0
3525,756,0,56,535,55,1676,1718,0,0
3484,817,0,66,613,54,1801,1838,0,0
3375,856,0,76,690,58,1919,1928,0,0
3273,895,0,85,772,56,2024,2016,0,0
3128,925,0,93,842,54,2110,2102,0,0
2991,964,0,102,917,61,2187,2199,0,0
2855,980,0,120,1013,63,2305,2212,0,0
2714,1023,0,143,1111,70,2407,2222,0,0
2574,1044,0,167,1223,68,2493,2250,0,0
2441,1051,0,192,1306,76,2601,2280,0,0
2295,1104,0,225,1408,82,2717,2286,0,0
2200,1151,0,262,1553,89,2793,2316,0,0
2069,1197,0,303,1673,99,2898,2326,0,0
1944,1228,0,347,1786,96,2970,2366,0,0
1834,1295,0,381,1860,102,3047,2345,0,0
1726,1336,0,434,1954,116,3067,2309,0,0
1609,1358,0,491,2057,113,3103,2250,0,0
1512,1370,0,533,2124,119,3097,2193,0,0
1427,1413,0,585,2179,122,3086,2112,0,0
1343,1437,0,642,2259,128,3112,2023,0,0
1263,1422,0,688,2354,137,3077,1971,0,0
1194,1437,0,744,2425,142,3059,1918,0,0
1114,1459,0,796,2486,143,3067,1829,0,0
1047,1466,0,872,2591,165,3060,1752,0,0
971,1501,0,993,2682,171,3032,1686,0,0
902,1522,0,1086,2756,177,3002,1600,0,0
850,1543,0,1193,2827,194,2966,1541,0,0
776,1511,0,1255,2861,197,2898,1484,0,0
712,1517,0,1346,2870,209,2833,1413,0,0
670,1539,0,1434,2869,212,2744,1321,0,0
617,1498,0,1520,2836,230,2671,1249,0,0
564,1470,0,1635,2815,228,2599,1157,0,0
516,1473,0,1691,2834,234,2497,1097,0,0
472,1441,0,1776,2846,247,2415,1028,0,0
420,1412,0,1867,2870,251,2341,986,0,0
392,1407,0,1976,2861,269,2286,934,0,0
358,1391,0,2077,2851,279,2236,881,0,0
330,1369,0,2148,2812,291,2176,824,0,0
305,1317,0,2236,2772,304,2093,767,0,0
281,1306,0,2321,2741,343,2016,713,0,0
261,1259,0,2387,2683,343,1927,647,0,0
247,1232,0,2443,2598,356,1848,614,0,0
232,1164,0,2525,2530,357,1757,575,0,0
204,1111,0,2585,2474,368,1679,537,0,0
186,1055,0,2637,2383,394,1618,505,0,0
173,1037,0,2704,2304,403,1544,462,0,0
