t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,1,2
0,0,1,0,0,0,0,0,1,2
0,0,1,0,0,0,0,0,1,2
0,0,1,0,0,0,0,0,1,2
2,1,1,0,0,0,0,2,1,2
3,2,1,0,0,0,0,3,1,2
3,3,1,0,1,0,1,5,1,2
3,4,1,0,1,0,1,5,1,2
3,5,1,0,2,0,2,5,1,2
4,6,1,0,2,0,2,7,1,2
5,7,1,1,2,3,3,7,1,2
5,8,1,1,2,4,4,8,1,2
5,8,1,1,2,4,4,8,1,2
6,9,1,1,3,5,4,8,1,2
8,11,1,1,3,5,4,8,1,2
9,13,1,1,3,6,6,9,1,2
9,17,1,1,3,8,6,9,1,2
12,18,1,1,3,8,6,11,1,2
14,20,1,1,3,9,8,12,1,2
17,22,1,1,3,11,11,12,1,2
21,27,1,1,3,11,11,12,1,2
25,28,1,1,3,11,11,12,1,2
33,30,1,1,4,11,13,12,1,2
43,33,1,1,6,11,16,14,1,2
50,38,1,1,6,12,16,16,1,2
54,41,1,1,6,13,23,19,1,2
60,44,1,1,6,14,24,22,1,2
66,46,1,1,6,16,25,26,1,2
73,50,1,1,6,20,27,28,1,2
83,61,1,1,6,21,28,32,1,2
100,65,1,1,7,23,31,39,1,2
117,79,1,1,11,25,38,44,1,2
139,86,1,1,14,27,40,53,1,2
159,97,1,1,14,30,45,61,1,2
177,103,1,1,15,30,51,70,1,2
206,111,1,1,18,32,63,84,1,2
239,126,1,1,24,32,72,94,1,2
277,145,1,1,29,35,81,109,1,2
327,159,1,2,30,38,93,131,1,2
386,170,1,2,34,39,112,143,1,2
468,186,1,2,39,42,128,164,1,2
552,213,1,2,45,43,139,186,1,2
664,235,1,2,49,47,154,213,1,2
770,269,1,2,58,49,178,240,1,2
868,289,1,2,65,52,204,277,1,2
1003,311,1,2,73,55,230,312,1,2
1159,339,1,2,83,60,252,352,1,2
1324,376,1,2,90,62,282,405,1,2
1492,404,1,3,93,65,306,445,1,2
1722,459,1,3,102,72,348,495,1,2
1984,495,1,3,113,73,394,579,1,2
2198,540,1,3,124,76,452,663,1,2
2451,583,1,5,149,82,495,742,1,2
2715,642,1,5,172,84,545,815,1,2
3012,701,1,5,190,89,613,919,1,2
3300,756,1,7,203,92,680,1004,1,2
3587,819,1,9,225,96,744,1126,1,2
3862,887,1,11,246,104,804,1243,1,2
4162,947,1,12,283,109,870,1378,1,2
4442,1029,1,13,315,115,969,1529,1,2
4730,1092,1,14,342,123,1067,1696,1,2
5015,1182,1,16,374,127,1172,1865,1,2
5268,1258,1,21,414,136,1291,2050,1,2
5544,1345,1,24,464,143,1409,2230,1,2
5794,1434,1,27,530,148,1547,2406,1,2
6037,1534,1,33,584,155,1656,2631,1,2
6257,1613,1,36,642,164,1769,2839,1,2
6483,1725,1,43,714,174,1905,3066,1,2
6688,1834,1,47,798,176,2052,3263,1,2
6900,1928,1,53,875,189,2196,3494,1,2
7081,2019,1,66,952,200,2383,3715,1,2
7272,2126,1,81,1061,212,2545,3932,1,2
7458,2236,1,90,1157,226,2716,4144,1,2
7614,2340,1,104,1286,241,2880,4366,1,2
7763,2478,1,118,1427,250,3068,4578,1,2
7914,2598,1,137,1547,269,3254,4787,1,2
8035,2721,1,161,1686,285,3442,4996,1,2
8143,2839,1,190,1827,297,3628,5208,1,2
8244,2968,1,215,1965,309,3813,5420,1,2
8338,3119,1,254,2098,330,4005,5597,1,2
8426,3251,1,293,2243,349,4199,5777,1,2
8525,3362,1,338,2407,373,4366,5953,1,2
8607,3503,1,374,2564,392,4566,6133,1,2
8700,3636,1,406,2705,418,4740,6312,1,2
8788,3785,1,453,2869,436,4929,6486,1,2
8851,3911,1,504,3030,457,5109,6624,1,2
8933,4072,1,564,3206,483,5295,6754,1,2
9005,4195,1,628,3408,507,5457,6885,1,2
9053,4320,1,687,3607,532,5639,7026,1,2
9113,4462,1,750,3811,558,5793,7142,1,2
9170,4598,1,821,3997,589,5944,7281,1,2
9222,4717,1,914,4160,616,6115,7383,1,2
9269,4866,1,998,4334,648,6271,7491,1,2
9323,5016,1,1080,4515,683,6409,7574,1,2
9354,5140,1,1173,4694,722,6535,7671,1,2
9396,5258,1,1274,4863,760,6661,7757,1,2
9427,5390,1,1390,5052,804,6782,7843,1,2
9453,5544,1,1489,5227,837,6917,7931,1,2
9479,5644,1,1600,5394,864,7038,8012,1,2
9501,5776,1,1709,5568,909,7158,8094,1,2
9519,5909,1,1831,5739,958,7267,8155,1,2
9537,6047,1,1946,5895,1007,7378,8210,1,2
9566,6162,1,2059,6028,1051,7477,8267,1,2
9586,6267,1,2184,6201,1089,7570,8309,1,2
9601,6369,1,2310,6347,1145,7672,8358,1,2
9612,6467,1,2443,6474,1199,7764,8410,1,2
9625,6574,1,2583,6609,1253,7855,8450,1,2
9634,6669,1,2738,6733,1308,7953,8495,1,2
9646,6766,1,2892,6861,1359,8046,8532,1,2
9653,6838,1,3048,7001,1427,8119,8572,1,2
9671,6911,1,3191,7106,1496,8194,8608,1,2
9679,6984,1,3334,7245,1558,8268,8628,1,2
9686,7062,1,3466,7346,1618,8330,8661,1,2
9687,7130,1,3619,7451,1695,8393,8689,1,2
9691,7192,1,3753,7557,1756,8447,8722,1,2
9701,7252,1,3909,7661,1837,8497,8747,1,2
9706,7321,1,4027,7754,1910,8558,8772,1,2
9712,7368,1,4163,7833,1980,8613,8789,1,2
9717,7423,1,4306,7911,2062,8648,8811,1,2
9721,7487,1,4450,7982,2152,8697,8834,1,2
9726,7541,1,4577,8060,2239,8750,8848,1,2
9733,7588,1,4732,8143,2341,8792,8863,1,2
9739,7643,1,4868,8201,2402,8831,8873,1,2
9742,7691,1,5010,8280,2488,8865,8887,1,2
9748,7738,1,5156,8347,2573,8903,8896,1,2
9752,7769,1,5292,8407,2667,8938,8901,1,2
9757,7814,1,5411,8472,2732,8969,8910,1,2
9760,7861,1,5545,8530,2813,8998,8916,1,2
9762,7901,1,5674,8584,2878,9026,8928,1,2
