t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
9999,9999,9999,9999,9999,9999,9999,9998,9999,9998
9997,9998,9999,9999,9999,9999,9998,9998,9999,9998
9997,9998,9999,9998,9999,9999,9996,9998,9999,9998
9995,9998,9999,9998,9998,9999,9995,9996,9999,9998
9994,9996,9999,9998,9997,9998,9995,9994,9999,9998
9993,9992,9999,9998,9997,9998,9995,9992,9999,9998
9992,9991,9999,9998,9997,9997,9992,9992,9999,9998
9991,9988,9999,9998,9997,9996,9990,9991,9999,9998
9991,9985,9999,9998,9996,9996,9989,9991,9999,9998
9991,9984,9999,9998,9996,9996,9988,9991,9999,9998
9989,9982,9999,9998,9994,9996,9986,9991,9999,9998
9988,9980,9999,9998,9994,9994,9982,9990,9999,9998
9985,9976,9999,9998,9994,9991,9980,9990,9999,9998
9981,9976,9999,9998,9993,9988,9978,9990,9999,9998
9980,9974,9999,9998,9993,9986,9976,9989,9999,9998
9978,9971,9999,9998,9992,9986,9976,9987,9999,9998
9973,9966,9999,9998,9991,9986,9974,9987,9999,9998
9965,9958,9999,9998,9990,9984,9970,9985,9999,9998
9957,9954,9999,9998,9989,9983,9969,9984,9999,9998
9955,9951,9999,9998,9988,9982,9968,9982,9999,9998
9948,9945,9999,9997,9986,9981,9965,9976,9999,9998
9942,9940,9999,9997,9986,9978,9959,9975,9999,9998
9929,9930,9999,9997,9984,9977,9956,9966,9999,9998
9916,9926,9999,9997,9983,9976,9952,9957,9999,9998
9907,9915,9999,9997,9980,9973,9940,9952,9999,9998
9887,9905,9999,9996,9978,9971,9936,9947,9999,9998
9862,9892,9999,9996,9977,9969,9928,9941,9999,9998
9841,9874,9999,9996,9975,9967,9921,9925,9999,9998
9820,9864,9999,9996,9972,9964,9916,9915,9999,9998
9789,9854,9999,9996,9971,9962,9911,9902,9999,9998
9758,9836,9999,9996,9969,9960,9898,9890,9999,9998
9694,9820,9999,9996,9965,9955,9893,9873,9999,9998
9639,9805,9999,9996,9959,9954,9882,9854,9999,9998
9569,9772,9999,9996,9950,9953,9857,9823,9999,9998
9481,9753,9999,9996,9942,9950,9830,9803,9999,9998
9374,9728,9999,9996,9929,9946,9805,9765,9999,9998
9220,9696,9999,9996,9922,9942,9772,9727,9999,9998
9062,9661,9999,9996,9914,9941,9739,9698,9999,9998
8902,9606,9999,9996,9909,9939,9707,9658,9999,9998
8714,9576,9999,9996,9895,9936,9680,9607,9999,9998
8510,9539,9999,9996,9881,9933,9634,9553,9999,9998
8303,9490,9999,9996,9865,9933,9589,9505,9999,9998
8038,9454,9999,9995,9856,9928,9542,9463,9999,9998
7803,9411,9999,9995,9842,9926,9504,9400,9999,9998
7510,9350,9999,9994,9832,9923,9447,9331,9999,9998
7182,9310,9999,9993,9818,9920,9369,9244,9999,9998
6794,9258,9999,9992,9789,9913,9297,9160,9999,9998
6306,9198,9999,9992,9759,9909,9195,9027,9999,9998
5785,9128,9999,9991,9732,9903,9076,8908,9999,9998
5311,9045,9999,9990,9704,9898,8969,8756,9999,9998
4888,8973,9999,9989,9665,9887,8840,8584,9999,9998
4457,8914,9999,9986,9632,9884,8708,8428,9999,9998
4053,8841,9999,9984,9577,9878,8599,8262,9999,9998
3708,8764,9999,9976,9538,9871,8455,8087,9999,9998
3420,8667,9999,9969,9484,9866,8307,7920,9999,9998
3093,8567,9999,9963,9428,9858,8150,7714,9999,9998
2811,8459,9999,9956,9373,9853,8003,7507,9999,9998
2528,8345,9999,9952,9306,9843,7810,7260,9999,9998
2234,8228,9999,9943,9229,9834,7596,7011,9999,9998
1924,8104,9999,9935,9122,9828,7358,6711,9999,9998
1598,7971,9999,9919,9017,9820,7068,6363,9999,9998
1395,7835,9999,9906,8897,9810,6803,6059,9999,9998
1259,7705,9999,9889,8777,9798,6585,5784,9999,9998
1143,7582,9999,9876,8643,9789,6368,5512,9999,9998
1039,7462,9999,9859,8500,9783,6124,5263,9999,9998
970,7341,9999,9842,8360,9774,5936,5016,9999,9998
906,7222,9999,9821,8199,9761,5727,4802,9999,9998
846,7094,9999,9791,8034,9755,5517,4583,9999,9998
798,6954,9999,9762,7841,9742,5273,4365,9999,9998
743,6834,9999,9723,7643,9727,5034,4126,9999,9998
683,6710,9999,9674,7416,9711,4785,3880,9999,9998
610,6564,9999,9627,7218,9691,4512,3603,9999,9998
530,6412,9999,9562,6960,9674,4210,3314,9999,9998
480,6229,9999,9495,6720,9657,3962,3075,9999,9998
440,6073,9999,9435,6466,9647,3713,2886,9999,9998
415,5900,9999,9358,6220,9617,3506,2752,9999,9998
399,5736,9999,9285,5957,9597,3328,2625,9999,9998
383,5577,9999,9208,5757,9579,3130,2509,9999,9998
372,5420,9999,9128,5579,9558,2965,2413,9999,9998
362,5294,9999,9037,5337,9537,2797,2317,9999,9998
357,5172,9999,8937,5120,9511,2633,2217,9999,9998
343,5024,9999,8831,4895,9479,2482,2123,9999,9998
328,4876,9999,8714,4650,9452,2319,2032,9999,9998
