t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
4,1,0,5,0,0,0,2,1,2
3,1,1,7,1,1,1,4,1,1
3,0,0,4,1,4,2,1,0,1
2,0,3,5,4,2,1,3,1,0
3,0,1,8,5,3,1,7,1,0
3,0,2,12,6,4,1,6,1,0
2,0,1,14,7,5,2,7,1,0
1,0,1,13,7,5,2,7,0,0
1,0,1,16,5,12,1,9,0,1
1,0,1,21,9,9,0,8,1,0
0,0,3,27,12,12,3,15,1,0
0,0,1,25,9,15,2,15,1,0
0,0,1,29,14,9,5,17,1,0
0,0,2,31,10,14,3,16,1,0
0,0,1,29,18,24,3,23,2,0
0,1,0,27,14,18,3,23,2,0
0,1,1,26,24,17,3,28,1,0
0,0,1,30,23,18,4,31,1,0
0,0,2,33,23,21,4,33,1,0
0,0,1,36,29,21,3,37,1,0
0,1,2,37,38,21,3,41,1,0
0,1,2,40,37,24,3,47,1,0
0,0,2,39,43,27,4,45,1,0
0,0,2,41,47,27,7,47,1,0
0,0,1,44,56,25,11,55,2,0
0,0,1,45,64,26,9,65,2,0
0,0,1,44,63,27,7,60,0,0
0,0,2,54,59,26,5,70,2,0
0,0,1,57,62,21,5,63,2,0
0,0,0,72,64,22,9,58,1,0
0,0,1,73,60,26,8,71,2,0
0,1,2,76,59,27,13,80,3,0
0,2,2,78,57,21,7,82,5,0
0,1,3,106,59,22,13,86,6,0
0,3,3,118,55,33,13,89,5,0
0,4,2,131,60,40,14,84,6,0
0,3,1,148,54,33,9,91,5,0
0,3,4,171,62,36,10,91,4,0
0,2,6,157,74,28,9,82,4,0
0,4,3,160,88,26,9,81,6,0
0,5,5,159,93,28,14,81,6,0
0,5,7,170,104,29,16,81,6,0
0,4,8,168,110,27,16,88,6,0
0,4,6,172,105,24,15,77,5,0
0,4,6,182,111,28,8,79,5,0
0,5,6,192,120,27,10,91,8,0
0,6,7,205,138,30,10,91,9,0
0,7,10,202,126,42,18,100,9,0
0,8,9,221,133,42,18,86,9,0
0,10,14,203,140,38,17,87,11,0
0,8,12,218,151,40,19,101,14,0
0,7,21,215,160,36,14,109,10,0
0,11,14,226,165,33,11,88,7,0
0,12,19,235,158,24,14,117,7,0
