t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0
0,0,0,0,2,0,0,2,0,0
0,0,0,1,1,0,0,2,0,0
0,0,0,1,1,0,0,3,0,0
0,0,0,1,1,0,0,2,0,0
0,0,1,1,1,0,0,2,0,0
0,0,1,1,2,0,0,2,0,0
0,0,0,2,3,0,0,2,0,0
0,0,0,2,3,0,0,2,0,0
0,0,0,2,3,0,0,3,0,0
0,0,0,2,3,0,0,3,0,0
0,0,0,2,3,0,0,6,0,0
0,0,0,2,6,0,0,6,0,0
0,0,0,2,6,0,0,6,0,0
0,0,1,2,7,0,0,4,1,0
0,0,1,3,8,0,0,4,1,0
0,0,1,3,9,0,0,5,1,0
0,0,1,6,11,0,0,4,1,0
0,0,1,5,11,0,1,4,1,0
0,0,1,6,11,0,1,4,1,0
0,0,1,6,11,0,1,5,1,0
0,0,1,6,11,0,0,3,1,0
0,0,1,5,13,0,1,5,1,0
0,0,1,9,13,1,1,6,1,0
0,0,1,9,12,1,1,8,1,0
0,0,1,11,13,1,2,10,1,0
0,0,1,12,12,1,2,12,1,0
0,0,1,11,11,1,0,12,1,0
0,0,1,14,12,0,0,12,1,0
0,0,1,16,11,0,0,13,1,0
0,1,0,15,14,0,0,18,1,0
0,1,0,15,15,0,0,18,1,0
0,1,0,16,17,1,0,20,1,0
0,1,0,20,18,1,0,18,1,0
0,1,0,19,24,3,0,17,1,0
0,1,0,18,25,3,0,18,1,0
0,1,0,21,27,3,1,16,1,0
0,1,0,20,32,3,1,16,1,0
0,1,0,22,33,3,1,13,1,0
0,1,0,23,38,3,0,14,1,0
0,1,0,23,38,3,0,15,1,0
0,1,0,24,42,3,0,15,1,0
0,1,0,23,41,3,0,12,1,0
0,0,0,22,42,3,0,12,0,0
0,0,1,22,42,2,0,13,0,0
0,0,2,25,42,2,1,12,0,0
0,0,2,29,41,2,1,12,0,0
0,0,2,28,44,2,1,13,0,0
0,0,3,27,49,1,1,13,0,0
0,2,3,31,48,0,1,12,0,0
0,2,3,30,49,0,2,15,0,0
0,2,3,31,47,0,2,20,0,0
0,2,3,30,48,0,2,22,0,0
0,2,3,28,50,0,2,25,0,0
0,1,4,27,51,0,2,26,0,0
0,1,3,26,49,0,2,30,0,0
0,1,3,27,47,0,2,28,0,0
0,1,2,27,48,0,1,27,0,0
0,1,3,26,45,0,1,27,0,0
0,1,4,24,45,1,1,29,0,0
0,1,4,21,47,3,1,29,0,0
0,3,5,21,48,4,1,32,0,0
0,3,4,21,49,4,1,29,0,0
0,3,4,21,50,4,0,30,0,0
0,4,2,23,51,4,2,30,0,0
0,4,4,23,52,4,3,36,0,0
0,5,4,22,53,4,3,36,0,0
