t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,2
1,2,2,6,2,2,0,3,2,1
2,2,2,8,2,4,1,3,1,2
2,2,4,9,3,4,1,5,2,2
2,2,2,12,4,5,1,6,2,2
2,2,3,11,6,4,1,8,1,2
3,2,3,12,7,7,0,10,2,2
2,2,3,13,11,9,1,11,2,2
2,2,3,16,10,13,2,13,2,3
3,2,2,20,12,15,2,13,2,3
3,2,4,29,15,19,3,16,3,3
2,2,3,35,13,28,4,18,3,3
1,2,3,39,20,29,6,25,2,2
1,2,2,43,25,27,5,27,1,1
1,1,3,49,32,36,6,35,1,1
1,1,3,53,34,38,6,40,2,1
1,2,3,54,39,40,8,53,2,1
0,2,3,54,43,42,9,58,2,1
0,2,4,52,46,45,10,64,2,0
0,2,3,54,47,50,12,70,2,0
0,2,3,62,55,57,11,68,2,0
0,2,3,64,64,62,9,76,2,0
0,2,3,70,70,66,7,81,2,0
0,2,4,74,79,73,6,87,2,0
0,2,3,70,82,72,9,94,2,0
0,2,3,77,92,75,11,108,3,0
0,2,2,81,105,77,13,115,3,0
0,1,3,91,111,86,15,131,2,0
0,1,4,98,117,88,12,147,4,0
0,1,4,106,127,81,15,161,4,0
0,1,3,117,130,85,14,170,4,0
0,1,4,134,137,88,20,175,4,0
0,2,4,137,148,89,19,186,2,0
0,3,3,153,153,86,19,195,3,0
0,3,5,174,158,86,18,215,4,0
0,4,7,195,172,89,22,216,5,0
0,5,7,206,184,91,22,228,6,0
0,6,5,243,184,102,23,245,6,0
0,6,8,272,189,101,25,255,5,0
0,5,10,287,206,99,23,253,6,0
0,6,11,306,213,100,22,258,6,0
0,7,12,329,218,103,24,264,8,0
0,8,16,343,223,106,29,279,10,0
0,9,15,365,241,98,34,276,12,0
0,11,16,388,257,106,32,281,12,0
0,11,15,413,265,104,35,290,15,0
0,13,14,433,288,99,35,287,15,0
0,12,17,433,302,101,29,315,17,0
0,14,18,459,323,101,30,329,16,0
0,15,24,467,342,109,30,321,18,0
0,17,24,500,366,112,30,323,20,0
0,17,31,513,386,114,31,351,22,0
0,18,33,532,413,118,31,340,24,0
0,20,39,550,433,112,26,343,23,0
0,22,41,559,455,112,29,362,28,0
0,25,38,587,492,110,31,383,30,0
0,27,46,610,518,112,27,387,29,0
0,25,51,638,543,117,27,396,29,0
0,28,57,664,577,114,30,411,32,0
0,28,59,681,590,120,30,428,33,0
0,34,68,696,618,112,30,453,36,0
0,39,72,704,649,110,33,472,43,0
0,47,77,717,666,113,29,489,47,0
0,48,73,732,687,111,26,490,48,0
0,50,75,746,681,111,24,497,52,0
0,53,76,764,657,105,25,521,49,0
0,51,79,772,669,116,29,560,51,0
0,51,79,783,686,118,28,572,54,0
0,52,83,789,704,121,27,583,52,0
0,51,85,809,688,135,29,602,55,0
0,53,89,809,684,141,29,622,55,0
0,56,96,815,677,152,32,650,62,0
0,56,98,812,678,166,29,670,64,0
0,64,100,811,688,177,33,717,66,0
0,64,99,791,698,184,35,726,63,0
0,65,110,791,704,189,34,738,65,0
0,72,109,799,697,189,33,760,66,0
0,76,112,814,696,206,29,781,67,0
0,80,107,824,700,215,24,815,69,0
0,82,103,842,693,231,27,830,70,0
0,87,113,846,712,244,29,856,73,0
0,87,111,854,707,257,29,904,75,0
0,87,117,857,720,257,31,885,75,0
0,92,124,883,715,261,30,884,75,0
0,90,124,882,726,271,33,907,77,0
0,93,136,900,751,271,33,952,81,0
0,90,140,918,761,276,29,956,81,0
0,94,139,919,769,279,27,996,87,0
0,96,134,914,779,275,30,1032,85,0
0,105,134,911,786,278,33,1046,81,0
0,107,148,937,805,283,34,1068,79,0
0,109,143,951,816,295,39,1049,79,0
0,114,140,956,823,293,43,1048,85,0
0,123,144,951,829,296,49,1060,85,0
0,131,148,951,842,301,47,1071,88,0
0,129,146,947,829,302,49,1078,92,0
0,124,146,962,837,307,49,1066,93,0
0,137,150,955,843,320,53,1054,93,0
0,137,158,949,856,327,62,1056,98,0
0,147,167,960,868,319,57,1047,98,0
0,149,161,936,867,323,59,1035,102,0
0,159,164,934,884,331,63,1021,108,0
0,165,175,925,855,349,62,997,111,0
0,174,188,907,865,356,60,998,122,0
0,176,184,893,863,368,62,982,117,0
0,183,187,896,864,374,67,979,123,0
0,193,202,899,862,400,67,969,130,0
0,196,207,917,850,410,69,965,136,0
0,200,223,911,871,414,79,963,135,0
0,203,225,903,861,395,90,962,139,0
0,208,225,891,853,403,92,965,147,0
0,216,236,901,872,419,90,969,158,0
0,228,249,913,860,430,92,968,158,0
0,223,248,901,868,441,97,964,166,0
0,224,240,896,862,466,97,970,164,0
0,224,254,901,870,452,87,953,172,0
0,224,272,888,866,458,80,941,174,0
0,234,276,888,863,477,83,939,178,0
0,251,280,882,881,474,86,928,178,0
0,254,282,870,891,485,89,944,183,0
0,260,276,877,887,485,98,942,190,0
0,260,277,892,903,474,98,924,186,0
0,261,284,907,882,461,97,918,187,0
0,263,292,892,889,474,97,925,183,0
0,266,292,902,886,505,101,937,183,0
0,269,297,919,894,495,105,931,186,0
0,270,288,927,891,488,114,929,187,0
0,286,293,928,882,475,114,918,193,0
0,287,302,927,873,468,115,933,191,0
0,287,320,942,849,470,118,916,190,0
0,286,317,957,845,468,121,907,192,0
0,297,324,966,848,481,121,904,188,0
0,300,319,971,832,460,117,925,196,0
0,287,340,999,832,465,121,923,200,0
0,285,346,1021,830,452,122,918,198,0
0,294,359,1018,813,460,128,904,205,0
0,299,372,1001,812,451,130,901,211,0
