t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,1,1
1,0,0,1,0,1,1,0,1,1
1,0,2,2,0,1,1,0,1,1
2,0,2,5,1,3,1,0,2,1
2,0,2,9,2,3,2,0,2,1
3,0,2,11,2,3,2,0,2,1
3,0,2,11,3,5,2,1,2,1
3,0,3,11,3,7,2,4,2,1
3,0,3,12,6,8,2,5,2,1
4,0,4,13,11,9,2,7,2,1
5,0,4,17,11,11,2,7,3,2
5,0,5,21,11,16,3,9,4,3
5,1,5,23,15,19,3,11,4,3
5,1,5,27,18,22,4,13,4,3
5,1,5,33,20,26,4,18,4,3
6,1,5,42,25,30,5,25,4,3
6,1,5,50,29,35,5,31,4,4
6,1,7,56,35,37,5,36,4,4
6,1,7,56,39,39,7,47,4,4
6,2,7,65,44,43,9,55,4,4
6,2,7,68,49,49,11,66,4,4
6,2,7,76,54,53,13,74,4,4
6,2,8,86,63,63,13,83,4,4
6,2,8,90,72,69,14,91,4,4
6,2,9,98,80,78,15,105,4,4
6,3,9,102,88,82,16,116,5,4
6,3,9,111,100,87,19,127,5,4
6,3,9,121,108,101,19,134,5,4
6,3,10,131,123,106,20,147,5,4
6,3,10,143,138,116,21,161,5,4
6,3,10,155,146,124,24,177,7,4
6,3,12,164,162,132,28,196,7,4
6,3,12,179,176,141,31,206,8,4
6,3,12,191,190,155,32,227,8,4
6,3,12,208,198,161,35,246,8,4
6,3,14,231,220,169,37,263,9,4
6,4,14,247,234,182,38,283,10,4
6,5,14,275,248,196,42,311,10,4
6,5,14,297,265,206,45,332,11,4
6,5,16,325,285,216,47,355,12,4
6,5,18,352,314,224,48,372,12,4
6,6,22,374,331,238,51,403,12,4
6,6,23,407,353,241,56,419,12,4
6,8,26,432,381,257,57,447,13,4
6,8,28,468,406,269,59,480,16,4
6,10,29,512,435,278,67,494,17,4
6,10,30,553,460,291,69,525,19,4
6,14,30,608,491,297,73,559,19,4
6,15,32,642,517,307,80,592,21,4
6,16,33,680,556,317,83,616,22,4
6,18,35,722,592,328,86,652,24,4
6,20,37,764,628,343,93,687,27,4
6,21,44,816,676,354,94,715,27,4
6,22,50,867,705,365,97,740,29,4
6,25,54,921,750,376,101,776,31,4
6,27,59,966,799,387,104,815,32,4
6,29,62,1015,848,402,110,843,34,4
6,30,68,1083,906,410,114,883,36,4
6,30,72,1143,952,428,116,925,37,4
6,32,78,1211,1011,442,119,967,37,4
6,33,85,1280,1068,453,125,1013,41,4
6,36,94,1339,1123,463,129,1070,46,4
6,39,100,1394,1196,481,133,1128,47,4
6,43,112,1460,1286,497,135,1174,53,4
6,53,117,1521,1331,506,135,1223,55,4
6,56,125,1597,1390,515,140,1280,55,4
6,63,131,1666,1445,531,143,1341,59,4
6,70,139,1728,1519,538,146,1397,62,4
6,75,143,1802,1590,553,148,1452,64,4
