t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
9995,9998,9999,9994,9999,9999,9999,9997,9998,9997
9995,9998,9998,9991,9998,9998,9998,9995,9998,9997
9995,9998,9998,9990,9997,9994,9997,9995,9998,9997
9995,9998,9995,9987,9994,9994,9997,9993,9997,9997
9994,9998,9995,9982,9992,9992,9997,9987,9996,9997
9994,9998,9994,9974,9990,9990,9997,9987,9996,9997
9994,9998,9994,9970,9986,9988,9996,9984,9996,9997
9994,9998,9994,9966,9984,9985,9996,9982,9996,9997
9994,9998,9994,9960,9982,9976,9996,9979,9996,9996
9994,9998,9994,9952,9978,9973,9996,9976,9995,9996
9994,9998,9992,9942,9972,9966,9993,9967,9995,9996
9994,9998,9992,9934,9969,9958,9993,9963,9994,9996
9994,9998,9992,9923,9961,9954,9989,9956,9994,9996
9994,9998,9991,9912,9957,9946,9989,9950,9994,9996
9994,9998,9991,9906,9943,9933,9989,9938,9993,9996
9994,9997,9991,9900,9937,9927,9988,9927,9993,9996
9994,9997,9990,9893,9922,9923,9987,9915,9993,9996
9994,9997,9990,9882,9915,9916,9984,9895,9993,9996
9994,9997,9989,9869,9906,9907,9982,9880,9993,9996
9994,9997,9989,9860,9892,9899,9982,9864,9993,9996
9994,9996,9988,9851,9876,9892,9980,9848,9993,9996
9994,9996,9988,9840,9864,9880,9979,9832,9993,9996
9994,9996,9988,9830,9845,9868,9978,9818,9993,9996
9994,9996,9987,9819,9830,9858,9975,9799,9993,9996
9994,9996,9987,9804,9804,9849,9970,9777,9992,9996
9994,9996,9987,9796,9782,9839,9969,9751,9992,9996
9994,9996,9987,9784,9763,9829,9967,9734,9992,9996
9994,9996,9986,9762,9744,9819,9966,9704,9990,9996
9994,9996,9986,9744,9727,9811,9963,9684,9990,9996
9994,9996,9986,9711,9706,9803,9959,9662,9989,9996
9994,9996,9985,9692,9690,9792,9957,9630,9988,9996
9994,9995,9984,9668,9672,9782,9952,9599,9987,9996
9994,9994,9983,9637,9652,9775,9951,9574,9985,9996
9994,9994,9982,9593,9631,9765,9943,9543,9984,9996
