t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1,2
1,2,2,6,2,2,0,4,2,1
2,2,2,8,2,4,1,4,1,2
2,2,4,9,3,4,1,6,2,2
2,2,2,12,4,5,1,7,2,2
2,2,3,11,6,4,1,9,1,2
3,2,3,12,7,7,0,11,2,2
2,2,3,13,11,9,1,12,2,2
2,2,3,16,10,13,2,15,2,3
3,2,2,20,13,15,2,14,2,3
3,2,4,29,16,19,3,17,3,3
2,2,3,35,14,28,4,20,3,3
1,2,3,40,22,29,6,27,2,2
1,2,3,44,28,27,5,30,1,1
1,1,4,50,34,36,6,39,1,1
1,1,4,54,36,38,6,44,2,1
1,2,4,55,42,40,8,56,2,1
0,2,4,56,46,42,9,62,2,1
0,2,5,54,50,45,10,68,2,0
0,2,3,56,51,50,12,75,2,0
0,2,3,64,60,57,11,74,2,0
0,2,3,66,68,62,9,82,2,0
0,2,4,72,74,66,7,88,2,0
0,2,5,76,86,73,6,94,2,0
0,2,4,73,91,72,9,101,2,0
0,2,4,82,102,75,12,115,4,0
0,2,3,86,117,77,14,121,4,0
0,1,4,97,123,86,16,137,3,0
0,1,5,106,130,88,13,153,5,0
0,1,5,114,142,81,16,165,5,0
0,1,4,125,146,85,15,174,5,0
0,1,5,142,153,88,21,183,5,0
0,2,5,146,164,89,20,194,3,0
0,3,4,164,169,86,20,205,4,0
0,3,6,184,175,87,19,226,5,0
0,4,8,207,190,90,24,229,6,0
0,5,8,219,201,92,24,242,7,0
0,7,6,258,199,103,25,261,7,0
0,7,9,289,205,102,27,271,6,0
0,6,11,306,223,100,23,270,7,0
0,7,12,326,231,100,22,276,7,0
0,8,13,348,238,103,24,284,9,0
0,9,16,364,247,107,29,302,11,0
0,10,15,386,267,100,34,298,13,0
0,12,16,411,284,108,32,305,13,0
0,12,15,436,297,107,35,310,16,0
0,14,14,457,321,102,35,306,16,0
0,13,17,457,337,104,30,337,18,0
0,15,18,487,362,104,32,350,17,0
0,16,24,496,382,112,32,341,19,0
0,18,24,530,412,115,31,341,21,0
0,18,32,544,434,117,32,371,23,0
0,19,34,562,464,121,32,359,25,0
0,21,40,584,485,115,27,360,24,0
0,23,43,594,504,115,30,378,29,0
0,25,40,620,544,113,32,398,30,0
0,27,49,644,571,114,28,407,29,0
0,25,54,674,597,119,28,417,29,0
0,28,60,700,631,116,31,434,32,0
0,29,62,714,646,122,32,451,33,0
0,36,71,729,680,113,32,477,36,0
0,42,75,739,709,110,35,498,43,0
0,50,80,751,726,113,31,518,47,0
0,51,77,767,744,111,28,521,48,0
0,53,79,785,737,111,26,529,52,0
0,56,80,801,712,105,27,556,49,0
0,53,83,805,723,116,31,595,51,0
0,53,82,816,739,119,30,609,54,0
0,54,87,820,754,123,29,619,52,0
0,53,89,840,740,137,30,635,55,0
0,55,93,837,736,144,30,655,55,0
0,59,101,841,730,156,34,684,62,0
0,60,103,835,733,170,31,710,64,0
0,68,105,835,748,182,35,758,66,0
0,69,104,820,757,188,37,766,63,0
0,70,115,818,765,193,37,779,65,0
0,77,113,830,759,193,36,805,67,0
0,81,116,847,758,210,32,829,68,0
0,85,111,855,764,219,27,863,70,0
0,89,108,877,757,235,30,884,72,0
0,93,119,882,776,248,32,909,75,0
0,94,117,891,776,261,32,958,77,0
0,93,123,894,788,261,34,939,77,0
0,99,131,920,784,266,33,939,77,0
0,98,132,921,792,277,37,966,79,0
0,102,146,943,818,278,36,1013,83,0
0,98,148,961,828,283,32,1020,83,0
0,102,147,958,838,287,30,1061,89,0
0,103,144,952,846,283,33,1098,87,0
0,112,144,945,853,287,37,1112,84,0
0,112,158,969,875,291,37,1135,82,0
0,114,152,986,885,304,43,1121,82,0
0,120,149,990,899,302,47,1122,89,0
0,128,151,987,903,306,54,1133,89,0
0,137,154,990,919,311,52,1141,91,0
0,136,152,986,906,311,55,1149,95,0
0,132,150,1001,915,315,56,1134,96,0
0,146,156,996,924,328,62,1116,96,0
0,145,165,988,937,335,73,1117,101,0
0,157,174,998,954,327,68,1112,100,0
0,158,168,973,951,332,70,1096,104,0
0,169,174,969,967,340,74,1086,110,0
0,175,185,962,941,358,73,1065,113,0
0,181,198,945,948,366,71,1063,125,0
0,185,195,934,946,379,74,1047,120,0
0,192,198,940,945,385,79,1042,127,0
0,203,211,944,946,411,79,1030,133,0
0,207,214,962,939,421,83,1025,139,0
0,211,230,956,961,427,94,1025,139,0
0,215,234,945,956,407,104,1024,143,0
0,220,235,932,947,414,107,1028,151,0
0,227,247,943,968,431,104,1026,161,0
0,239,263,953,957,441,105,1028,160,0
0,233,262,939,968,453,109,1024,167,0
0,233,252,931,967,480,108,1030,165,0
0,233,265,938,971,469,101,1012,173,0
0,234,284,924,963,475,96,996,175,0
0,244,288,923,965,494,99,995,179,0
0,261,295,919,980,490,102,982,179,0
0,263,298,907,987,501,104,999,185,0
0,270,290,917,983,501,115,1003,192,0
0,271,290,933,1000,491,115,984,188,0
0,272,297,950,978,476,115,979,190,0
0,274,305,932,985,488,115,991,186,0
0,277,304,943,979,517,118,1004,187,0
0,281,308,959,991,507,122,996,190,0
0,281,299,971,989,499,130,992,191,0
0,297,304,971,981,486,130,983,196,0
0,300,316,968,973,480,133,996,194,0
0,302,332,985,952,483,137,979,193,0
0,302,330,1000,947,481,138,971,196,0
0,315,337,1009,949,495,137,966,192,0
0,316,334,1015,933,474,135,984,198,0
0,304,355,1040,938,479,138,983,201,0
0,300,360,1061,936,465,139,982,199,0
0,308,373,1058,919,473,149,966,206,0
